IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.208.38,2087,2087,true,SIN,Asia Pacific,Singapore,280,5.97
47.237.121.38,8880,8880,false,SIN,Asia Pacific,Singapore,264,5.95
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,252,5.94
8.219.132.64,8880,8880,false,SIN,Asia Pacific,Singapore,258,5.91
47.236.130.95,2095,2095,false,SIN,Asia Pacific,Singapore,260,5.85
8.219.49.65,8443,8443,true,SIN,Asia Pacific,Singapore,253,5.85
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,256,5.77
47.245.96.80,2087,2087,true,SIN,Asia Pacific,Singapore,253,5.75
8.219.200.145,2082,2082,false,SIN,Asia Pacific,Singapore,255,5.74
47.236.168.17,2086,2086,false,SIN,Asia Pacific,Singapore,265,5.71
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,252,5.66
47.236.118.216,2096,2096,true,SIN,Asia Pacific,Singapore,262,5.64
47.236.169.141,2087,2087,true,SIN,Asia Pacific,Singapore,255,5.63
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,256,5.60
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,260,5.58
47.236.169.164,2083,2083,true,SIN,Asia Pacific,Singapore,255,5.57
47.236.180.24,80,80,false,SIN,Asia Pacific,Singapore,260,5.56
8.222.134.170,2082,2082,false,SIN,Asia Pacific,Singapore,264,5.56
47.236.168.17,8880,8880,false,SIN,Asia Pacific,Singapore,267,5.51
47.245.96.80,2086,2086,false,SIN,Asia Pacific,Singapore,270,5.49
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,256,5.38
47.236.130.95,2052,2052,false,SIN,Asia Pacific,Singapore,251,5.38
47.236.149.107,2053,2053,true,SIN,Asia Pacific,Singapore,269,5.36
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,265,5.35
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,269,5.35
47.236.180.24,8080,8080,false,SIN,Asia Pacific,Singapore,258,5.34
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,253,5.33
47.236.253.41,80,80,false,SIN,Asia Pacific,Singapore,266,5.33
47.236.80.110,2095,2095,false,SIN,Asia Pacific,Singapore,265,5.27
47.245.118.70,80,80,false,SIN,Asia Pacific,Singapore,268,5.24
47.236.87.246,2095,2095,false,SIN,Asia Pacific,Singapore,257,5.21
8.219.199.220,80,80,false,SIN,Asia Pacific,Singapore,262,5.18
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,254,5.18
8.219.122.55,2053,2053,true,SIN,Asia Pacific,Singapore,263,5.16
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,253,5.12
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,267,5.09
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,262,5.08
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,256,5.07
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,270,5.07
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,258,5.06
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,253,5.06
8.222.208.38,2052,2052,false,SIN,Asia Pacific,Singapore,273,5.05
47.236.144.156,2086,2086,false,SIN,Asia Pacific,Singapore,254,5.03
8.222.183.242,80,80,false,SIN,Asia Pacific,Singapore,253,5.02
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,275,5.02
8.219.0.48,2082,2082,false,SIN,Asia Pacific,Singapore,256,4.98
8.219.193.202,2095,2095,false,SIN,Asia Pacific,Singapore,255,4.95
47.236.17.193,8880,8880,false,SIN,Asia Pacific,Singapore,274,4.94
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,263,4.90
47.236.130.95,8880,8880,false,SIN,Asia Pacific,Singapore,264,4.90
8.219.111.175,2083,2083,true,SIN,Asia Pacific,Singapore,278,4.88
47.236.165.25,8080,8080,false,SIN,Asia Pacific,Singapore,260,4.86
47.236.171.205,2095,2095,false,SIN,Asia Pacific,Singapore,264,4.84
8.219.199.220,2083,2083,true,SIN,Asia Pacific,Singapore,271,4.83
8.219.114.201,2087,2087,true,SIN,Asia Pacific,Singapore,254,4.83
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,256,4.82
8.222.183.242,8080,8080,false,SIN,Asia Pacific,Singapore,257,4.81
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,253,4.80
8.219.0.48,2087,2087,true,SIN,Asia Pacific,Singapore,255,4.79
